keyword,popularity,popularity_is_floor,difficulty,apps_count,source_apps_count,source_apps,top_category,fetched_at
workout tracker,62,False,74,242,5,338274353530|281015303312|6720448|338147689315|335673431116,health-and-fitness,1778833182.0337431
contraction timer,62,False,57,216,2,280269830713|280125433823,medical,1778832071.44964
photo to pdf,62,False,68,240,2,337173726951|334458121859,graphics-and-design,1778832792.183094
scan to pdf,62,False,81,237,2,5980452|334458121859,business,1778832945.054307
body editor,62,False,66,214,1,304369060311,graphics-and-design,1778831980.6311018
budget,62,False,70,240,1,40913510877,finance,1778832008.43372
astrology,61,False,70,239,7,280422884636|281336005308|337352385605|333889757967|280242922199,lifestyle,1778831876.984543
remove background,61,False,82,232,6,337050396332|337852557423|338351962682|336989865805|317637953541,graphics-and-design,1778832892.639429
weight loss tracker,61,False,76,232,5,338109923228|281771475724|333988380467|337433311120|337202977153,health-and-fitness,1778833159.230033
collage maker,61,False,84,218,1,338510507470,graphics-and-design,1778832071.4496179
focus friend,61,False,52,233,1,338267477251,productivity,1778832364.404047
hairstyle try on,61,False,63,223,1,338302124764,photo-and-video,1778832454.315278
passport photo,61,False,60,229,1,282913909924,photo-and-video,1778832711.5380821
macro tracker,60,False,76,235,11,338109923228|336984263896|337323818982|337677459771|338274353530,health-and-fitness,1778832555.029611
workout planner,60,False,80,244,4,281015303312|6720448|338147689315|335673431116,health-and-fitness,1778833182.033739
pdf converter,60,False,74,229,3,5980452|337173726951|334458121859,business,1778832734.4028401
countdown widget,60,False,73,240,2,280873663392|282035529569,utilities,1778832097.6528058
background remover,59,False,83,235,6,337050396332|337852557423|338351962682|317637953541|304369060311,graphics-and-design,1778831933.169814
photo eraser,59,False,74,229,4,337050396332|337852557423|338351962682|336989865805,graphics-and-design,1778832764.063582
mileage tracker,59,False,62,218,2,27241585014|41540288277,finance,1778832639.393286
image converter,59,False,50,243,1,337173726951,graphics-and-design,1778832506.1442938
photo grid,59,False,82,211,1,338510507470,graphics-and-design,1778832792.1830819
ruler,59,False,47,186,1,280389744699,utilities,1778832918.877236
sleep cycle,59,False,73,214,1,266417844442,lifestyle,1778832968.439714
horoscope,58,False,73,221,7,280422884636|281336005308|337352385605|333889757967|280242922199,lifestyle,1778832506.144257
pregnancy app,58,False,78,225,4,281836941420|280269830713|5851887|280125433823,medical,1778832818.3647842
meal planner,58,False,68,239,2,338253057122|337281789022,health-and-fitness,1778832585.051399
bill organizer,58,False,55,217,1,280716098271,finance,1778831955.390912
hair color changer,58,False,61,223,1,338302124764,photo-and-video,1778832454.315267
fasting app,57,False,70,241,2,337266916346|337093056466,health-and-fitness,1778832295.698533
bible widget,57,False,70,227,1,338201980548,reference,1778831933.169835
crypto wallet,57,False,78,234,1,280283211965,finance,1778832121.597276
relationship tracker,57,False,62,232,1,6451702,lifestyle,1778832892.639421
weight loss,56,False,83,223,11,337266916346|337093056466|336984263896|337323818982|337677459771,health-and-fitness,1778833159.230005
ovulation tracker,56,False,78,213,6,334449832036|337564157854|337473086504|5851887|336802133684,health-and-fitness,1778832711.538079
intermittent fasting,56,False,72,234,2,337266916346|337093056466,health-and-fitness,1778832528.037018
measuring tape,56,False,57,199,2,280389744699|335969042893,utilities,1778832585.051409
receipt scanner,56,False,78,225,2,5980452|334458121859,business,1778832865.939682
nutrition tracker,55,False,78,239,11,338109923228|336984263896|337323818982|337677459771|338274353530,health-and-fitness,1778832689.774613
meal tracker,55,False,82,236,9,338109923228|336984263896|337323818982|337677459771|338274353530,health-and-fitness,1778832585.051402
cycle tracker,55,False,76,216,6,334449832036|41565369835|337564157854|337473086504|336802133684,health-and-fitness,1778832150.299984
